iter	Passed	Remaining
862	47493	7539
863	47549	7484
864	47603	7429
865	47659	7374
866	47715	7319
867	47767	7264
868	47824	7209
869	47880	7154
870	47937	7099
871	47991	7044
872	48048	6989
873	48103	6934
874	48161	6880
875	48218	6825
876	48274	6770
877	48329	6715
878	48385	6660
879	48439	6605
880	48495	6550
881	48551	6495
882	48607	6440
883	48656	6384
884	48710	6329
885	48764	6274
886	48815	6218
887	48870	6163
888	48927	6109
889	48981	6053
890	49028	5997
891	49083	5942
892	49135	5887
893	49187	5832
894	49243	5777
895	49296	5721
896	49351	5666
897	49407	5611
898	49463	5557
899	49516	5501
900	49572	5446
901	49622	5391
902	49673	5335
903	49727	5280
904	49774	5224
905	49833	5170
906	49886	5115
907	49942	5060
908	49998	5005
909	50051	4950
910	50107	4895
911	50163	4840
912	50219	4785
913	50266	4729
914	50319	4674
915	50375	4619
916	50427	4564
917	50484	4509
918	50538	4454
919	50594	4399
920	50650	4344
921	50705	4289
922	50762	4234
923	50819	4179
924	50873	4124
925	50924	4069
926	50978	4014
927	51034	3959
928	51090	3904
929	51151	3850
930	51206	3795
931	51258	3739
932	51304	3684
933	51356	3629
934	51412	3574
935	51469	3519
936	51519	3463
937	51571	3408
938	51624	3353
939	51681	3298
940	51734	3243
941	51788	3188
942	51843	3133
943	51896	3078
944	51952	3023
945	52005	2968
946	52061	2913
947	52109	2858
948	52165	2803
949	52220	2748
950	52276	2693
951	52325	2638
952	52367	2582
953	52416	2527
954	52466	2472
955	52513	2416
956	52569	2362
957	52621	2307
958	52676	2252
959	52729	2197
960	52776	2141
961	52828	2086
962	52882	2031
963	52938	1976
964	52994	1922
965	53049	1867
966	53107	1812
967	53162	1757
968	53217	1702
969	53273	1647
970	53325	1592
971	53379	1537
972	53431	1482
973	53487	1427
974	53543	1372
975	53599	1318
976	53652	1263
977	53709	1208
978	53764	1153
979	53821	1098
980	53876	1043
981	53929	988
982	53985	933
983	54031	878
984	54085	823
985	54139	768
986	54195	713
987	54250	658
988	54308	604
989	54366	549
990	54419	494
991	54475	439
992	54529	384
993	54582	329
994	54637	274
995	54692	219
996	54743	164
997	54796	109
998	54847	54
999	54895	0
